"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.560739528225391","0.66","0.65","0.63","0.67","0.59","0.079260471774609","0.7","0.67","0.69","0.71","0.7","0.133260471774609","0.73","0.68","0.67","0.62","0.62","0.103260471774609","0.6","0.56","0.61","0.61","0.62","0.0395562830647654"
"r_vec","0.299205023351731","0.45","0.48","0.47","0.3","0.52","0.144794976648269","0.55","0.54","0.52","0.53","0.39","0.206794976648269","0.45","0.5","0.46","0.51","0.46","0.176794976648269","0.43","0.41","0.31","0.35","0.38","0.0767949766482689"
"r_vec","0.115615153152737","0.23","0.21","0.29","0.15","0.2","0.100384846847263","0.22","0.2","0.25","0.23","0.29","0.122384846847263","0.26","0.23","0.26","0.19","0.22","0.116384846847263","0.2","0.07","0.21","0.15","0.19","0.0666309081083577"
"r_vec","0.527664942049149","0.28","0.36","0.31","0.32","0.32","0.209664942049149","0.27","0.27","0.29","0.21","0.24","0.271664942049149","0.3","0.31","0.25","0.18","0.29","0.261664942049149","0.18","0.17","0.18","0.18","0.18","0.349664942049149"
"r_vec","0.262105862002245","0.21","0.31","0.28","0.2","0.27","0.037578827599551","0.32","0.26","0.24","0.35","0.29","0.039578827599551","0.24","0.25","0.34","0.28","0.24","0.030421172400449","0.18","0.22","0.15","0.2","0.17","0.078105862002245"
"r_vec","0.0370991613494861","0.14","0.12","0.17","0.14","0.15","0.106900838650514","0.21","0.12","0.25","0.28","0.14","0.162900838650514","0.15","0.25","0.23","0.16","0.21","0.162900838650514","0.17","0.18","0.19","0.16","0.3","0.162900838650514"
"r_vec","0.0012453825339661","0.09","0.06","0.11","0.07","0.08","0.0807546174660339","0.07","0.07","0.06","0.1","0.07","0.0727546174660339","0.16","0.14","0.17","0.1","0.11","0.134754617466034","0.3","0.23","0.21","0.18","0.26","0.234754617466034"
"r_vec","0.704022863941115","0.47","0.55","0.49","0.47","0.36","0.236022863941115","0.41","0.56","0.37","0.41","0.36","0.282022863941115","0.46","0.43","0.46","0.48","0.46","0.246022863941115","0.23","0.28","0.26","0.32","0.31","0.424022863941115"
"r_vec","0.00847733084099366","0.13","0.14","0.18","0.14","0.24","0.157522669159006","0.2","0.14","0.21","0.25","0.21","0.193522669159006","0.15","0.2","0.13","0.14","0.18","0.151522669159006","0.35","0.31","0.35","0.39","0.35","0.341522669159006"
"r_vec","0.0857479401102785","0.13","0.1","0.15","0.09","0.13","0.0342520598897215","0.16","0.16","0.1","0.08","0.14","0.0445512359338329","0.12","0.15","0.11","0.09","0.15","0.0382520598897215","0.08","0.11","0.08","0.04","0.06","0.0214487640661671"
